group,system,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
FB,MCS,-20.047916666666666,3.1652487767694626,6.02625,1.3448801870022864,7.921666666666667,3.205954604721694,24
MBD,MCS,-18.83222222222222,2.550595214398478,8.125555555555556,0.6836340801595219,1.1311111111111112,2.836816544046365,18
MBZ,MCS,-15.334444444444445,2.2859139917717326,6.625555555555556,1.1791322138665272,4.007777777777778,2.342065209263919,9
MP,MCS,-20.076944444444443,2.393464696620415,9.312777777777779,1.084660871585772,7.102222222222222,2.4375996520126235,36
