Species,System,FB,MBD,MBZ,MP,TP
Snook,ACS,-0.9777400154647061,-0.6551505886236929,2.893527025474881,-1.692522529558344,-0.9688589817725759
Snook,ACS,-0.7100447451794981,-0.2105427665979778,-0.7471233010883443,1.4166194752739594,0.5104483582587807
Snook,ACS,-0.6327105559859936,-0.6551505886236929,-0.9159253838989201,1.8143004293804166,1.0019377838329404
Snook,ACS,-0.9598936641123589,-0.5301046386789605,-0.9387364761706194,2.008621804682436,2.392374702916433
Snook,ACS,-0.7992765019412341,-0.6898855747194519,-0.9706720053509986,2.022179109936065,2.1320228204274647
Snook,ACS,-0.8290204208618128,-0.342535713761862,1.9035256208831273,-1.0327336738817214,0.47051509624953364
Snook,ACS,-0.8647131235665073,-0.6412565941853893,2.56048507830807,-1.462048340246647,-0.22824508272352906
Snook,ACS,-0.6743520424748037,0.7342488552066668,-0.683252242727586,0.7116396020852394,0.05344629555363325
Snook,ACS,-0.5613251505766047,0.8384538134939438,-0.801869922540423,0.6754867880755614,-0.5040708664945706
Snook,ACS,-0.7635837992365397,-0.5162106442406569,1.8898389655201075,-0.9513898423599461,0.25211877667736227
Snook,ACS,-0.912303393839433,0.6161499024810861,1.8807145286114277,-1.5705067822756809,-0.7318257619700718
Snook,ACS,1.0388976873505276,-0.7246205608152109,-0.7106255534536253,0.38626427599813806,-0.45570425065508813
Snook,ACS,-0.6565056911224565,2.2417472517626074,-0.3912702616498336,-0.5763043970095374,-0.34724550676824767
Snook,ACS,-0.9004058262712016,3.804821626071762,-0.8520543255381617,-0.9423516388575265,0.4040124489961457
Snook,ACS,-0.2876810965072811,-0.2244367610362814,-0.2726525818369967,0.6302957705634639,-0.2903853726761225
Snook,ACS,-0.7457374478841925,2.0263903379689014,0.1105737683275535,-0.8564887055845415,-0.28062092952011625
Snook,ACS,-0.2757835289390496,-0.6412565941853893,-0.9615475684423188,1.58382624006872,0.04466068873421734
Snook,ACS,-0.4364006911101744,-0.23138375825543323,-0.5418234706430497,1.0144194194162923,4.2727167377916236e-4
Snook,ACS,-0.5018373127354474,-0.7037795691577554,-1.0026075345313779,1.8278577346340459,0.7496653525153919
Snook,ACS,-0.6386593397701092,-0.6204156025279339,-0.8703031993555213,1.75555210661469,1.0389299274613493
Snook,ACS,-0.7159935289636139,-0.5092636470215051,-0.8429298886294819,1.7058419873513828,0.8980007359268523
Snook,ACS,-0.7159935289636139,-0.6759915802811484,-0.9615475684423188,1.9363161766630799,1.6305215982897456
Snook,ACS,-0.7516862316683083,-0.6343095969662375,-0.7562477379970242,1.737475699609851,1.204738466207087
Snook,ACS,-0.8825594749188544,-0.6273625997470857,-0.9113631654445802,1.9815071941751774,1.8838064415731535
Snook,ACS,-0.7516862316683083,-0.4536876692682907,1.5659214552619756,-0.6847628390385713,0.3493494322743844
Snook,ACS,-0.757635015452424,0.2201710609894337,-0.9250498208075999,1.353352050757023,-0.12101374157321716
Snook,ACS,-0.7933277181571184,0.42163398034483585,0.7036621673917381,-0.372944818205099,0.41129224706638123
Snook,ACS,-1.0074839343852848,-0.6273625997470857,2.834218185568463,-1.638293308543827,0.3830370935225187
Snook,ACS,-0.4542470424625215,0.11596610270215682,-0.5828834367321087,0.8472126546215317,-0.2303036278436031
Snook,ACS,-0.7992765019412341,-0.43284667761083534,1.830530125613689,-0.9242752318526876,0.5111531068356062
Snook,ACS,-1.025330285737632,-0.6343095969662375,2.925462554655261,-1.7060798348119732,0.211888962289351
Snook,ACS,-0.5732227181448362,-0.1897017749405224,1.7210368827095317,-1.1502303194131749,-0.6506346017453226
Snook,ACS,-0.3888104208372485,-0.6134686053087821,-0.728874427270985,1.4166194752739594,0.35037712794432024
Snook,ACS,1.122180660328148,-0.6690445830619965,-0.8292432332664623,0.40434068300297704,-0.6546727504409301
Snook,ACS,-0.9777400154647061,-0.6273625997470857,2.346060810954096,-1.1773449299204333,1.4338402199093805
Snook,ACS,-0.9479960965441274,-0.717673563596059,2.400807432406175,-1.1909022351740626,1.2017540682578853
Snook,ACS,0.12873376838082035,-0.6343095969662375,-0.7060633349992855,1.0144194194162923,-0.27393476992406385
Snook,ACS,-0.579171501928952,-0.4953696525832015,-0.7425610826340044,1.497963306795735,0.5011295685057462
Snook,ACS,-0.4482982586784058,1.873556399147562,-0.03997944066566274,-0.8384122985797025,-0.8914360551774863
Snook,ACS,-0.9658424478964747,4.80518922562962,-0.7425610826340044,-1.656369715548666,-1.4934154046503108
Snook,ACS,-0.43045190732605865,0.6856198746726042,-0.1996570865675585,0.08348445866708523,-0.48442592107097604
Snook,ACS,-0.757635015452424,0.03954913329148697,0.37974465713360656,0.17386649369127993,0.35939373703391037
Snook,ACS,-0.3650152857007855,2.109754304598723,-0.18597043120453896,-0.9107179265990584,-1.1532010737972733
Snook,ACS,-0.8766106911347388,-0.6968325719386036,2.450991835403913,-1.308398880705516,0.4292529768205175
Snook,ACS,-0.2162956910978922,0.2757470387426481,-0.2270303972935978,0.2100193077009579,-0.5907814817178987
Snook,ACS,-0.7992765019412341,1.7832454352985885,0.822279847204575,-1.3671472034712424,-0.7193931237203043
Snook,ACS,-0.8171228532935814,3.6936696705653334,-0.683252242727586,-1.109558403652287,-0.5292752471458192
Snook,ACS,-0.8766106911347388,-0.5926276136513268,1.8533412178853885,-0.7887021793163952,1.0987807185433882
Snook,ACS,-0.8111740695094656,-0.6620975858428447,-0.8931142916272207,1.93179707491187,1.7441353172227196
Tarpon,ACS,0.057348362971431636,-0.12717879996815626,-0.7699343933600438,0.7975025353582246,0.5109706727806099
