group,system,Meand13C,SDd13C,Meand15N,SDd15N,Meand34S,SDd34S,n
FB,ACS,-19.535,3.330824418120509,6.095416666666667,1.7981511741028717,6.524583333333333,3.5861302616641226,24
MBD,ACS,-19.758333333333333,2.436673841892818,7.637222222222222,0.9694801854939376,0.17499999999999996,3.4194603117347935,18
MBZ,ACS,-15.576,2.365592244379125,6.362,0.7818894494179539,4.248,3.80748327493226,10
MP,ACS,-18.714444444444446,2.7942885058576636,8.222222222222221,1.1040965566241054,4.898611111111111,4.027751696686221,36
